Species name,Common name,Order,Family,Diet,Trophic level via fishbase,NwP,N,Prop w plastic,average debris proportion (% mass),Type of debris,Color of debris,Average size of plastic,Size of fish,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publicaton year,Source,Notes
Merluccius merluccius,European hake,Gadiformes,Merluccidae,crustaceans,4.4,2,12,0.166666667,"33.3%, 1.75±1.14 microplastics/individual","*give type debris by total, see note","*gives % of colored debris, see note",,,demersal,235,"Active predation, particulate feeder (juv)",Active predation,Particulate feeder (juv),,,highly commercial,N,N,LC,64,NECS,North Atlantic,North Atlantic Gyre,2014,2016,Bellas et al. 2016,"Color of debris: Black 51%, red 13%, grey 12.7%"
Mullus barbatus,Red mullet,Perciformes,Mullidae,"crustaceans, mollusks",3.1,24,128,0.1875,"33.3%, 1.75±1.14 microplastics/individual","*give type debris by total, see note","*gives % of colored debris, see note",,,demersal,200,Benthic foraging,Benthic foraging,,,,commercial,N,Y,LC,29,MEDI,North Atlantic,North Atlantic Gyre,2014,2016,Bellas et al. 2016,
Prionace glauca,Blue shark,Carcharhiniformes,Carcharhinidae,,4.4,35,139,0.251798561,,,,,,pelagic-oceanic,500.5,"Active predation, scavenging",Active predation,Scavenging,Solitary,,minor commercial,N,Y,NT,77,MEDI,Mediterranean,Mediterranean Sea,1999-2015,2018,Bernardini et al. 2018,
Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,,3.3,5,40,0.125,,,,,,demersal,50,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,commercial,experimental,Y,LC,42,NAST E,North Atlantic,Portuguese Coast,2014,2018,Bessa et al. 2018,
Dicentrarchus labrax,European seabass,Perciformes,Moronidae,,3.5,9,40,0.225,,,,,,demersal,55,"Active predation, benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),Schooling (juv),Spawning,commercial,Y,Y,LC,69,NAST E,North Atlantic,Portuguese Coast,2014,2018,Bessa et al. 2018,
Diplodus vulgaris,Common two-banded seabream,Perciformes,Sparidae,,3.5,29,40,0.725,,,,,,benthopelagic,80,"Active predation, benthic foraging, particulate feeder, grazing",Benthic foraging,Grazing,,,commercial,N,Y,LC,48,NAST E,North Atlantic,Portuguese Coast,2014,2018,Bessa et al. 2018,
Myctophum aurolaternatum,Golden lanternfish,Myctophiformes,Myctophidae,,4.5,161,460,0.35,6,,,,,bathypelagic,,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,none,N,N,Not assessed,36,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Astronesthes indopacificus,Indo-Pacific snaggletooth,Stomiiformes,Stomiidae,,4,2,7,0.285714286,1,,,,,bathypelagic,1639,,,,,,none,N,N,LC,32,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Cololabis saira,Pacific saury,Beloniformes,Scomberesocidae,,3.7,18,52,0.346153846,3.2,,,,,pelagic-oceanic,115,,Particulate feeder,,,,highly commercial,N,N,Not assessed,32,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Symbolophorus californiensis,Bigfin lanternfish,Myctophiformes,Myctophidae,,3.4,27,78,0.346153846,7.2,,,,,pelagic-oceanic,1027,,Particulate feeder,,,,none,N,N,Not assessed,28,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Hygophum reinhardtii,Reinhardt's Lantern fish,Myctophiformes,Myctophidae,,3.2,16,45,0.355555556,1.3,,,,,bathypelagic,525,Particulate feeder,Particulate feeder,,,,none,N,N,LC,27,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Loweina interrupta,,Myctophiformes,Myctophidae,,3.2,10,28,0.357142857,1,,,,,bathypelagic,430,Particulate feeder,Particulate feeder,,,,none,N,N,LC,18,NPSE,North Pacific,,2008,2010,Boerger et al. 2010,"Proportion of individuals with ingested plastic 0.35 for the entire study, authors did not separate by species"
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,,4.1,9,302,0.03,,,,,,benthopelagic,175,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Spawning,highly commercial,Y,Y,VU,65,NECS,North Atlantic,,,2016,Brate et al. 2016,
Gasterosteus aculeatus,Three-spined stickleback,Gasterosteiformes,Gasterostediae,,3.3,0,355,0,,,,,,benthopelagic,50,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,minor commercial,N,N,LC,24,NECS,North Atlantic,Baltic Sea,"October 2015, 2016",2018,Budimir et al. 2018,
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,,3.4,3,164,0.018292683,,,,,,benthopelagic,200,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,highly commercial,N,Y,LC,39,NECS,North Atlantic,Baltic Sea,"October 2015, 2016",2018,Budimir et al. 2018,
Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,,3,2,154,0.012987013,,,,,,pelagic-neritic,80,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,LC,33,NECS,North Atlantic,Baltic Sea,"October 2015, 2016",2018,Budimir et al. 2018,
Thyrsites atun,Snoek,Perciformes,Gempylidae,"crustaceans, cephalopods, piscivorous",3.6,0,2,0,0,,,,*see note,benthopelagic,300,"Active predation, particulate feeder",Active predation,Particulate feeder,,,highly commercial,N,Y,Not assessed,63,TASM,,,2010-2015,2016,Cannon et al. 2016,"*if did not eat plastic, should I include?"
Katsuwonus pelamis,Skipjack tuna,Perciformes,Scombridae,"piscivorous, crustaceans, cephalopods, mollusks, cannabilism",4.4,0,1,0,0,n/a,n/a,n/a,*see note,pelagic-oceanic,130,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,Schooling,,highly commercial,N,Y,LC,38,TASM,,,2010-2015,2016,Cannon et al. 2016,
Platycephalus bassensis,Sand flathead,Scorpaeniformes,Platycephalidae,"crustaceans, piscivorous (ambush predators)",4.3,0,10,0,0,n/a,n/a,n/a,no data,demersal,50,"Active predation, scavenging",Active predation,Scavenging,Schooling,Solitary,commercial,N,N,Not assessed,48,TASM,,,2010-2015,2016,Cannon et al. 2016,
Dissostichus mawsoni,Antarctic toothfish,Perciformes,Nototheniidae,,3.9,1,10,0.1,10%,acrylic resin,green-brown,Weight: 0.0001g,"TL 152.0 cm, weight 32.0 kg",pelagic-oceanic,844,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,,,minor commercial,N,N,Not assessed,81,TASM,,,2010-2015,2016,Cannon et al. 2016,
Aldrichetta forsteri,Yellow-eye mullet,Mugiliformes,Mugilidae,"detritus, algae, invertebrates",2.5,0,17,0,0,n/a,n/a,n/a,*see note,demersal,5,"Benthic foraging, grazing, scavenging",Benthic foraging,Grazing,Schooling,,commercial,N,Y,LC,29,TASM,,,2010-2015,2016,Cannon et al. 2016,
Sillaginodes punctatus,Spotted sillago,Perciformes,Sillaginidae,"amphipods, crustaceans, adults: peanut worms, mollusks",3.3,0,8,0,0,n/a,n/a,n/a,*see note,demersal,10,Benthic foraging,Benthic foraging,,,,commercial,experimental,Y,Not assessed,32,TASM,,,2010-2015,2016,Cannon et al. 2016,
Paragalaxias dissimilis,Shannon galaxias,Osmeriformes,Galaxiidae,"crustaceans, planktivorous, algae",3.2,0,20,0,0,n/a,n/a,n/a,"TL: 4.8 ± 0.3 cm, average weight: 0.8 ± 0.2 g",demersal,,"Benthic foraging, grazing, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,none,N,N,Not assessed,15,TASM,,,2010-2015,2016,Cannon et al. 2016,
Sillago flindersi,Flinders' sillago,Perciformes,Sillaginidae,"crustaceans, amphipods, mysids, copepods",3.3,0,10,0,0,n/a,n/a,n/a,*see note,demersal,40,Benthic foraging,Benthic foraging,,,,highly commercial,N,N,Not assessed,31,TASM,,,2010-2015,2016,Cannon et al. 2016,
Haletta semifasciata,Blue weed whiting,Perciformes,Odacidae,"polychaetes, gastropods, crustaceans",3.2,0,2,0,0,n/a,n/a,n/a,*see note,demersal,4,"Active predation, benthic foraging, grazing",Benthic foraging,Active predation,Schooling,,minor commercial,N,N,LC,29,TASM,,,2010-2015,2016,Cannon et al. 2016,
Platycephalus laevigatus,Black flathead,Scorpaeniformes,Platycephalidae,no data,3.8,0,7,0,0,n/a,n/a,n/a,*see note,demersal,,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,none,N,N,Not assessed,34,TASM,,,2010-2015,2016,Cannon et al. 2016,
Arripis sp.,Australian salmon,Perciformes,Arripidae,piscivorous,4.4,0,9,0,0,n/a,n/a,n/a,"TL: 34.6 ± 2.2 cm, average weight: 505.5 ± 73.7 g",benthopelagic,,"Active predation, benthic foraging",Benthic foraging,Active predation,,,,,,,,TASM,,,2010-2015,2016,Cannon et al. 2016,
Scomber australasicus,Blue mackerel,Perciformes,Scombridae,"plantivorous, piscivorous, squid",4.2,0,4,0,0,n/a,n/a,n/a,*see note,pelagic-neritic,143.5,"Filter-feeder: facultative, active predation",Filter-feeder: facultative,Active predation,,,commercial,N,Y,LC,43,TASM,,,2010-2015,2016,Cannon et al. 2016,
Hyporhamphus melanochir,Southern sea garfish,Beloniformes,Hemiramphidae,no data,2.7,0,66,0,0,n/a,n/a,n/a,*see note,pelagic-neritic,10,Grazing,Grazing,,Schooling,,commercial,N,N,Not assessed,28,TASM,,,2010-2015,2016,Cannon et al. 2016,
Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,"detritus, algae, zooplanktivorous",2.5,0,43,0,0,n/a,n/a,n/a,*see note,benthopelagic,5,"Benthic foraging, grazing, scavenging",Grazing,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,42,TASM,,,2010-2015,2016,Cannon et al. 2016,
Scorpaena jacksoniensis,Eastern red scorpionfish,Scorpaeniformes,Scorpaenidae,no data,3.9,0,19,0,0,n/a,n/a,n/a,*see note,reef-associated,37,not listed,not listed,not listed,,,none,N,N,Not assessed,56,TASM,,,2010-2015,2016,Cannon et al. 2016,
Conger verreauxi,Conger,Anguilliformes,Congridae,no data,4.2,0,25,0,0,n/a,n/a,n/a,no data,reef-associated,22.5,not listed,not listed,not listed,,,commercial,N,N,LC,80,TASM,,,2010-2015,2016,Cannon et al. 2016,
Notolabrus tetricus,Blue-throated wrasses,Perciformes,Labridae,no data,3.6,0,7,0,0,n/a,n/a,n/a,*see note,reef-associated,25,not listed,not listed,not listed,,,none,N,N,LC,52,TASM,,,2010-2015,2016,Cannon et al. 2016,
Hyperlophus vittatus,Sandy sprat,Clupeiformes,Clupeidae,no data,3.4,0,10,0,0,n/a,n/a,n/a,"TL: 5.2 ± 0.7 cm, average weight: 9.2 ± 0.4 g",pelagic-neritic,11.5,Particulate feeder,Particulate feeder,,Schooling,,subsistence,N,N,LC,12,TASM,,,2010-2015,2016,Cannon et al. 2016,
Gymnoscopelus nicholsi,Nichol's lanternfish,Myctophiformes,Myctophidae,"euphausiids, mysids, copepods",3.4,0,39,0,0,n/a,n/a,n/a,*see note,bathypelagic,,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,,,minor commercial,N,N,Not assessed,40,TASM,,,2010-2015,2016,Cannon et al. 2016,
Trachurus declivis,Greenback horse mackerel,Perciformes,Carangidae,"krill, planktonic crustaceans",3.9,0,23,0,0,n/a,n/a,n/a,"TL:29.2 ± 2.5 cm, average weight: 228.0 ± 24.4 g",benthopelagic,165,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,,,highly commercial,N,Y,LC,50,TASM,,,2010-2015,2016,Cannon et al. 2016,
Engraulis australis,Australian anchovy,Clupeiformes,Engraulidae,plantivorous,3,0,10,0,0,n/a,n/a,n/a,"TL: 10.3 ± 0.6 cm, average weight: 6.0 ± 0.9 g",pelagic-neritic,50.5,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,minor commercial,N,N,LC,29,TASM,,,2010-2015,2016,Cannon et al. 2016,
Priacanthus arenatus,Atlantic bigeye,Perciformes,Priacanthidae,,4,60,122,0.491803279,,,,,,reef-associated,25,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Benthic foraging,,,minor commercial,N,Y,LC,25,BRAZ,,Brazil coast,May 2015-Nov 2016,2018,Cardozo et al. 2018,
Pseudopleuronectes americanus,Winter flounder,Pleuronectiformes,Pleuronectidae,,3.6,2,95,0.021052632,,,,,,demersal,72.5,"Benthic foraging, particulate feeder, grazing",Benthic foraging,Particulate feeder,,,commercial,experimental,Y,Not assessed,34,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Roccus americanus,White perch,Perciformes,Moronidae,,3.1,5,12,0.416666667,,,,,,demersal,,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,minor commercial,N,Y,LC,69,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Pollachius virens,Striped searobin,Scorpaeniformes,Triglidae,,4.3,1,1,1,,,,,,reef-associated,45,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,Schooling,,highly commercial,N,Y,Not assessed,59,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Pollachius virens,Saithe,Gadiformes,Gadidae,,4.3,1,1,1,,,,,,demersal,200.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,Schooling,,highly commercial,N,Y,Not assessed,59,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Myoxocephalus aenaeus,Grubby,Scorpaeniformes,Cottidae,,3.7,2,47,0.042553191,,,,,,demersal,179,"Active predation, benthic foraging",Benthic foraging,Active predation,,,none,N,N,Not assessed,38,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Tautogolabrus adspersus,Cunner,Perciformes,Labridae,,3.7,1,6,0.166666667,,,,,,reef-associated,69,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,commercial,N,N,LC,43,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,,3.4,2,2,1,,,,,,benthopelagic,182,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,highly commercial,N,Y,LC,39,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Menidia menidia,Atlantic silverside,Atheriniformes,Atherinopsidae,,3.2,3,9,0.333333333,,,,,,pelagic-neritic,2,Particulate feeder,Particulate feeder,,,,minor commercial,N,N,LC,13,GFST,North Atlantic,Southern New England,1972,1972,Carpenter et al. 1972,
Etmopterus spinax,Velvet Belly,Squaliformes,Etmopteridae,"Carnivorous (piscivorous, invertebrates)",4.1,3,95,0.031578947,,,,,,bathydemersal,350,Active predation,Active predation,,,,minor commercial,N,N,LC,63,MEDI,North Atlantic,Mediterranean Sea,1988-1990,1992,Carrasson et al. 1992,
Centroscymnus coelolepis,Portuguese dogfish,Squaliformes,Somniosidae,,4.5,1,54,0.018518519,,,,,,bathydemersal,1600,Active predation,Active predation,,,,minor commercial,N,N,NT,75,MEDI,North Atlantic,Mediterranean Sea,1988-1990,1992,Carrasson et al. 1992,
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,"piscivorous, invertebrates",4.2,1,13,0.076923077,,,,,,demersal,675,Active predation,Active predation,,,,minor commercial,N,N,LC,57,MEDI,North Atlantic,Mediterranean Sea,1988-1990,1992,Carrasson et al. 1992,
Centroscymnus coelolepis,Portuguese dogfish,Squaliformes,Somniosidae,,4.5,0,11,0,,,,,,bathydemersal,1600,Active predation,Active predation,,,,minor commercial,N,N,NT,75,MEDI,North Atlantic,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,"piscivorous, invertebrates",4.2,10,125,0.08,,,,,,demersal,675,Active predation,Active predation,,,,minor commercial,N,N,LC,57,MEDI,North Atlantic,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Trachyrhynchus scabrus,Roughsnout grenadier,Gadiformes,Macrouridae,,3.6,6,18,0.333333333,,,,,,bathydemersal,1047.5,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,minor commercial,N,N,LC,55,MEDI,Mediterranean,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Phycis blennoides,Greater forkbeard,Gadiformes,Phycidae,"invertebrates, piscivorous",3.7,0,22,0,,,,,,benthopelagic,275,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,52,MEDI,Mediterranean,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Mora moro,Common mora,Gadiformes,Moridae,omnivorous*,3.8,7,80,0.0875,,,,,,bathypelagic,1500,"Active predation, benthic foraging, scavenging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,61,MEDI,North Atlantic,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Nettastoma melanurum,Blackfin sorcerer,Anguilliformes,Nettastomatidae,crustaceans,3.5,1,11,0.090909091,,,,,,bathypelagic,594.5,"Active predation, benthic foraging",Benthic foraging,Active predation,,,none,N,N,LC,44,MEDI,Mediterranean,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Cataetyx laticeps,,Ophidiiformes,Bythitidae,,3.8,1,10,0.1,,,,,,bathydemersal,1450,not listed,not listed,not listed,,,none,N,N,LC,56,MEDI,North Atlantic,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Alepocephalus rostratus,Risso's smooth-head,Osmeriformes,Alepocephalidae,,3.7,0,158,0,,,,,,bathydemersal,1275,Particulate feeder,Particulate feeder,,,,none,N,N,LC,70,MEDI,North Atlantic,Mediterranean Sea,2010-2014,2016,Cartes et al. 2016,
Thunnus albacares,Yellowfin Tuna,Perciformes,Scombridae,predatory,4.4,1,50,0.02,,,,,,pelagic-oceanic,50.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,experimental,Y,NT,51,SPSG,,South Pacific Gyre,2015-2016,2018,Chagnon et al. 2018,
Cheilopogon rapanouiensis,Easter island flyingfish,Beloniformes,Exocoetidae,,4,7,43,0.162790698,,,,,,pelagic-neritic,10,"Particulate feeder, active predation",Particulate feeder,Active predation,,,none,N,N,LC,20,SPSG,,South Pacific Gyre,2015-2016,2018,Chagnon et al. 2018,
Thunnus albacares,Yellowfin Tuna,Perciformes,Scombridae,predatory,4.4,0,26,0,0,n/a,n/a,,,pelagic-oceanic,50.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,experimental,Y,NT,51,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Xiphias gladius,Swordfish,Perciformes,Xiphiidae,predatory,4.5,1,31,0.032258065,<0.1,uncategorized other,no data,,,pelagic-oceanic,275,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,commercial,N,Y,EN,72,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Lepidocybium flavobrunneum,Smith's escolar,Perciformes,Gempylidae,predatory,4.3,0,45,0,0,n/a,n/a,,,benthopelagic,650,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,85,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Lampris sp.,Small-eye Moonfish/Opah,Lampriformes,Lampridae,predatory,,14,24,0.583333333,22.8 ±24.6,"plastic, monofilament line, uncategorized line and rope","colored, white and clear",,,bathypelagic,366,"Active predation, benthic foraging, particulate feeder",Active predation,,,,,,,,,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Katsuwonus pelamis,Skipjack tuna,Perciformes,Scombridae,predatory,4.4,0,29,0,0,n/a,n/a,,,pelagic-oceanic,130,"Active predation, benthic foraging, particulate feeder",Active predation,,Schooling,,highly commercial,N,Y,LC,38,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Alepisaurus ferox,longnosed lancetfish,Aulopiformes,Alepisauridae,predatory,4,43,144,0.298611111,31.2 ± 38.6,"plastic, monofilament line, line and rope, other","colored, white and clear (most predominant 2x)",,,bathypelagic,915,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,none,N,N,LC,83,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,predatory,4.4,1,42,0.023809524,0.1,plastic,colored,,,pelagic-neritic,7.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,40,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Thunnus obesus,Bigeye Tuna,Perciformes,Scombridae,predatory,4.5,3,35,0.085714286,33.4 ±57.7,uncategorized other,no data,,,pelagic-oceanic,250,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,Schooling (juv),,highly commercial,N,Y,VU,56,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Lampris sp.,Big-eye Moonfish/Opah,Lampriformes,Lampridae,predatory,,49,115,0.426086957,17.2 ±26.2,"plastic, monofilament line, uncategorized line and rope, other","colored, white and clear",,,bathypelagic,366,"Active predation, benthic foraging, particulate feeder",Active predation,,,,,,,,,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Gempylus serpens,Snake mackerel,Perciformes,Gempylidae,predatory,4.4,1,104,0.009615385,100,plastic,white and clear,,,pelagic-oceanic,100,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Solitary,,minor commercial,N,N,LC,61,NPTG,,North Pacific,2007-2012,2013,Choy and Drazen 2013,
Engraulis encrasicolus,European anchovy,Clupeiformes,Engraulidae,,3.1,8,10,0.8,,,,,,pelagic-neritic,200,"Particulate feeder, benthic foraging",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,N,LC,25,NECS,,,13-Jul,2017,Collard et al. 2017,
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,planktonic invertebrates,3.1,16,105,0.152380952,,,,,,pelagic-neritic,100,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,N,N,LC,27,MEDI,,Mediterranean Sea,2015,2018,Compa et al. 2018,
Engraulis encrasicolus,European anchovy,Clupeiformes,Engraulidae,,3.1,15,105,0.142857143,,,,,,pelagic-neritic,200,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,Schooling,,highly commercial,N,N,LC,25,MEDI,,Mediterranean Sea,2015,2018,Compa et al. 2018,
Stellifer stellifer,Little croaker,Perciformes,Sciaenidae,no data,3.4,23,239,0.09623431,6.90%,polyfilament nylon fragments,blue,,,demersal,18,not listed,not listed,not listed,,,none,N,N,DD,17,BRAZ,South Atlantic,Goiana Estuary (North East Brasil),December 2005-August 2008,2011,Dantas et al. 2012,
Stellifer brasiliensis,,Perciformes,Sciaenidae,no data,3.4,22,330,0.066666667,9.2% (% nylon fragments per species),polyfilament nylon fragments,blue,0.03±0.1 mg average,,demersal,,not listed,not listed,not listed,,,none,N,N,Not assessed,14,BRAZ,South Atlantic,Goiana Estuary (North East Brasil),December 2005-August 2008,2011,Dantas et al. 2012,
Idiacanthus antrostomus,Pacific Blackdragon,Stomiiformes,Stomiidae,predatory,3.8,1,4,0.25,25,no data,no data,,,bathypelagic,551.5,"Active predation, particulate feeder",Active predation,Particulate feeder,,,none,N,N,Not assessed,26,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Sternoptyx diaphana,Diaphanous hatchet Fish,Stomiiformes,Sternoptychidae,"zooplanktivorous, fish",3.4,1,4,0.25,25,no data,no data,,,mesopelagic,650,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,none,N,N,LC,16,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Lampadena urophaos,Sunbeam Lampfish,Myctophiformes,Myctophidae,,3.2,0,1,0,0,n/a,n/a,,,pelagic-oceanic,525,not listed,not listed,not listed,,,none,N,N,Not assessed,39,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Diaphus fulgens,Kobito-hadaka (japanese),Myctophiformes,Myctophidae,,3.1,2,7,0.285714286,29,no data,no data,,,bathypelagic,542.5,not listed,not listed,not listed,,,none,N,N,Not assessed,22,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Taaningichthys bathyphilus,Deepwater lanternfish,Myctophiformes,Myctophidae,no data,3.1,0,3,0,0,n/a,n/a,,,bathypelagic,737.5,not listed,not listed,not listed,,,none,N,N,LC,32,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Cyclothone atraria,Deep-water bristlemouth,Stomiiformes,Gonostomatidae,,3.1,0,3,0,0,n/a,n/a,,,bathypelagic,1400,not listed,not listed,not listed,,,none,N,N,Not assessed,16,NPTG,Mediterranean,North Pacific Subtropic,2009,2011,Davison and Asch 2011,studies adults only
Diaphus phillipsi,Bolin's Lantern Fish,Myctophiformes,Myctophidae,no data,3.1,1,1,1,100,no data,no data,,,mesopelagic,959,not listed,not listed,not listed,,,none,N,N,Not assessed,31,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Diaphus anderseni,Andersen's Lantern Fish,Myctophiformes,Myctophidae,,3.1,2,13,0.153846154,15,no data,no data,,,bathypelagic,330,not listed,not listed,not listed,,,none,N,N,LC,15,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Nannobrachium fernae,,Myctophiformes,Myctophidae,,3.2,0,1,0,0,n/a,n/a,,,bathypelagic,375,not listed,not listed,not listed,,,none,N,N,Not assessed,33,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Nannobrachium hawaiiensis,,Myctophiformes,Myctophidae,,3.1,0,17,0,0,n/a,n/a,,,bathypelagic,575,not listed,not listed,not listed,,,none,N,N,Not assessed,32,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Ceratoscopelus warmingii,Warming's Lantern Fish,Myctophiformes,Myctophidae,"zooplaktivorous, herbivorous occasional",3.4,0,8,0,0,n/a,n/a,,,bathypelagic,1223.5,Particulate feeder,Particulate feeder,,,,none,N,N,LC,32,NPTG,Mediterranean,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Notolychnus valdiviae,Topside Lampfish,Myctophiformes,Myctophidae,zooplanktivorous,3.1,0,3,0,0,n/a,n/a,,,bathypelagic,362.5,Particulate feeder,Particulate feeder,,,,none,N,N,LC,10,NPTG,North Pacific,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
Cyclothone pallida,Tan Bristlemouth,Stomiiformes,Gonostomatidae,,3.2,0,5,0,0,n/a,n/a,,,bathypelagic,1200,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,,,none,N,N,LC,35,NPTG,South Atlantic,North Pacific Subtropic,2009,2011,Davison and Asch 2011,
